CVE_ENT,Región,Mercado,Concesionaria,VExperienciaClienteNov,VExperienciaClienteAcum,VSatisfacciónNov,VSatisfacciónAcum,VFConfianzaNov,VConfianzaAcum,VCalidadTNov,VCalidadTAcum,VAtenciónNov,VAtenciónAcum,VAparienciaFísNov,VAparienciaFísAcum,VOpiniónGeneralNov,VOpiniónGenAcum,VCortesíaNov,VCortesíaAcum,VConocimientoNov,VConocimientoAcum,VAyudaNov,AAyudaNov,VInvitaciónNov,VInvitaciónAcum,VPManejoNov,VPManejoAcum,VExperienciaPagoNov,VExperienciaPagoAcum,VProductosFinNov,VProductosFinAcum,VOpcionPagoNov,VOpciónPagoAcum,VContratoNov,VContratoAcum,VTDocsNov,VTDocsAcum,VEntregaNov,VEntregaAcum,VEntregaFechaNov,VEntregaFechaAcum,VLimpiezaNov,VLimpiezaAcum,VEstaodoNov,VEstadoAcum,VExplicaciónCarNov,VExplicaciónCarAcum,VTEntregaNov,VTEntregaAcum,VEAgendarNov,VEAgendaAcum,VLVerificaciónNov,VLVerificaciónAcum,VCompromisosNov,VCompromisosAcum,VSeguimientoNov,VSeguimientoAcum,VQuejasNov,VQuejasAcum,VVelocidadQuejasNov,VVelocidadQuejasAcum,VEncantoNov,VEncantoAcum,VCompartirNov,VCompartirAcum
9,M1 - M1,B - B,"M1468 - Mylsa, S.A. De C.V.",33.3,72.8,33.3,75.0,33.3,77.5,91.7,85.2,33.3,73.9,33.3,70.8,41.7,79.0,-75.0,60.8,-75.0,42.2,-100.0,46.9,-100.0,51.7,33.3,74.7,33.3,72.0,-100.0,47.9,-100.0,45.3,-100.0,44.8,-100.0,46.0,33.3,70.2,-100.0,13.8,-100.0,68.4,-100.0,63.5,-100.0,58.2,-100.0,25.7,-100.0,25.3,66.7,93.7,33.3,69.6,66.7,75.2,100.0,84.1,-,16.8,33.3,77.9,25.0,68.2
9,M1 - M1,B - B,M1477 - Ramsa Motors,100.0,78.9,100.0,77.9,75.0,84.2,100.0,89.6,100.0,78.0,100.0,75.8,100.0,83.1,-,36.8,-,16.7,-,19.7,-,44.7,100.0,83.1,100.0,75.1,-,41.9,-,44.0,-,28.9,-,31.2,100.0,78.9,-,4.8,-,50.5,-,50.0,-,45.2,-,11.2,-,20.8,100.0,94.9,100.0,77.9,0.0,84.2,100.0,68.5,-,57.0,100.0,80.0,100.0,78.4
15,M1 - M1,B - B,M1505 - Dinastia Automotriz Mexico,-62.5,78.6,-100.0,75.7,0.0,75.2,0.0,84.4,-75.0,81.9,0.0,79.9,-100.0,83.0,0.0,51.1,0.0,21.6,0.0,35.7,0.0,53.8,0.0,84.3,75.0,78.9,0.0,42.2,0.0,45.3,0.0,35.6,0.0,20.2,-100.0,79.8,-75.0,8.0,-100.0,40.0,-75.0,51.0,0.0,26.0,0.0,27.0,0.0,32.9,0.0,95.1,-75.0,79.4,100.0,89.0,0.0,76.1,-100.0,25.0,-75.0,78.7,-100.0,71.8
9,M1 - M1,B - B,M1511 - Cever Azcapotzalco,73.2,81.8,82.1,83.7,78.6,83.1,82.1,88.2,85.7,88.8,71.4,79.6,89.3,89.0,83.3,79.3,83.3,59.5,58.3,61.2,83.3,68.1,71.4,82.9,64.3,80.3,75.0,70.6,75.0,76.1,75.0,72.6,50.0,59.7,85.7,83.3,31.2,42.4,62.5,67.4,56.2,69.4,62.5,65.3,81.2,52.8,56.2,46.3,100.0,96.3,85.7,81.6,85.7,83.9,71.4,85.8,0.0,48.4,75.0,81.0,39.3,75.7
15,M1 - M1,B - B,M1516 - Santa Clara,-,76.1,-,77.4,-,86.0,-,91.7,-,80.6,-,73.4,-,83.9,-,75.0,-,69.8,-,56.2,-,65.6,-,79.7,-,72.4,-,57.0,-,50.0,-,22.9,-,18.8,-,73.7,-,16.0,-,60.0,-,52.1,-,55.0,-,23.0,-,21.9,-,89.5,-,71.3,-,84.0,-,81.3,-,41.1,-,80.1,-,75.3
15,M1 - M1,B - B,M1519 - Gimsa Automotriz (Suc. Los Reyes),100.0,84.2,100.0,82.0,100.0,84.3,100.0,86.2,100.0,83.6,100.0,81.9,100.0,87.6,-,74.2,-,42.7,-,48.3,-,54.2,100.0,86.9,100.0,81.3,-,54.0,-,58.5,-,49.3,-,47.0,100.0,85.4,-,29.7,-,61.7,-,54.7,-,55.5,-,35.9,-,29.8,100.0,97.8,100.0,83.7,100.0,84.0,100.0,87.1,-,41.7,100.0,86.2,100.0,81.1
15,M1 - M1,B - B,M1520 - Zapata (Suc. Atizapan),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,M1 - M1,B - B,M1526 - Mylsa (Suc. La Villa),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,M1 - M1,B - B,M1599 - Ecatepec,-,80.5,-,79.3,-,84.1,-,81.6,-,73.2,-,71.9,-,83.9,-,64.4,-,40.4,-,42.3,-,51.9,-,72.6,-,74.2,-,50.6,-,48.1,-,48.8,-,50.0,-,78.6,-,34.2,-,51.7,-,56.9,-,54.3,-,44.8,-,23.1,-,93.5,-,76.1,-,79.8,-,81.7,-,26.6,-,88.3,-,81.8
15,M1 - M1,B - B,M1615 - Zapata (Suc. Texcoco),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
